raison_soc;adresse;code_posta;commune;telephon;mail;site_inter;longitude;latitude
Imagine;;47550;BOE;+33 5 53 68 58 16;imagine@fbrg.fr;www.uneaubergeengascogne.com;0.6249332400000001;44.1749404
Osaka;38 boulevard Sylvain Dumont;47000;AGEN;+33 5 53 66 31 76;;http://osaka-agen.fr;0.6203052;44.2079206
Teo Japon;3 bis rue Palissy;47000;AGEN;+33 9 52 40 30 40 ou +33 6 09 32 10 04;;http://www.teojapon.com/;0.6127329;44.2003452
La CinquiŠme Saison;14 place du Mar‚chal Foch;47000;AGEN;+33 5 53 95 87 11;;;0.6200154;44.206704
La Marmite Fleurie;;47240;BON-ENCONTRE;+33 5 53 47 79 22;;;0.668438;44.186116
Le Caoulet;53 avenue du Caoulet;47510;FOULAYRONNES;+33 5 53 95 62 19;;;0.6426759;44.2372474
Le Colonial Caf‚;10 avenue du G‚n‚ral De Gaulle;47000;AGEN;+33 5 53 48 28 10;;www.colonial-cafe.net;0.612072;44.2031361
L'Impr‚vu;7 rue Camille Desmoulin;47000;AGEN;+33 5 53 66 39 31;;;0.6221822;44.2040808
Carr‚ Gourmand;2 rue Montalembert;47550;BOE;+33 5 53 95 22 22;carregourmand47@orange.fr;www.carregourmand.com;0.6639861;44.1791126
La Cucina;25 rue Emile Sentini;47000;AGEN;+33 9 54 58 44 49;;;0.6217372999999999;44.2060761
L'Etable;41bis P‚ristyle du Gravier;47000;AGEN;+33 5 53 47 68 79;dominique.ferrero@free.fr;;0.6101785;44.2024894
Au Bureau;8 place Jasmin;47000;AGEN;+33 5 53 68 46 46;pubaubureauagen@wanadoo.fr;www.au-bureau.fr;0.6120112;44.204015
Le Prince Noir;6 rue de Menjoulan;47310;SERIGNAC-SUR-GARONNE;+33 5 53 68 74 30;contact@le-prince-noir.com;www.le-prince-noir.com;0.48835515;44.2133407
Le Yaka;81 P‚ristyle du Gravier;47000;AGEN;+33 5 53 47 69 38;;;0.6106714;44.2025107
Buffalo Grill;330 rue de Gardes;47550;BOE;+33 5 53 96 73 25;AGEN@buffalo-grill.fr;www.buffalo-grill.fr;0.6441101;44.1749628
